Angle,Radius,Value
3.75,0.05,3.39E-04
3.75,0.1,2.46E-04
3.75,0.15,1.96E-04
3.75,0.2,1.62E-04
3.75,0.3,2.53E-04
3.75,0.4,1.90E-04
3.75,0.5,1.48E-04
3.75,0.6,1.17E-04
3.75,0.8,1.70E-04
3.75,1,1.13E-04
3.75,1.5,1.43E-04
3.75,2,5.17E-05
3.75,3,4.46E-05
3.75,4,3.99E-05
3.75,5,3.99E-05
3.75,6,3.88E-05
3.75,8,7.63E-05
3.75,10,7.28E-05
3.75,15,1.71E-04
3.75,20,1.51E-04
3.75,30,2.51E-04
3.75,40,1.89E-04
3.75,50,1.40E-04
3.75,60,9.63E-05
7.5,0.05,8.24E-04
7.5,0.1,6.41E-04
7.5,0.15,5.24E-04
7.5,0.2,4.40E-04
7.5,0.3,7.00E-04
7.5,0.4,5.33E-04
7.5,0.5,4.17E-04
7.5,0.6,3.33E-04
7.5,0.8,4.88E-04
7.5,1,3.24E-04
7.5,1.5,4.10E-04
7.5,2,1.49E-04
7.5,3,1.23E-04
7.5,4,1.10E-04
7.5,5,1.09E-04
7.5,6,1.08E-04
7.5,8,2.10E-04
7.5,10,2.01E-04
7.5,15,4.71E-04
7.5,20,4.23E-04
7.5,30,7.03E-04
7.5,40,5.33E-04
7.5,50,3.92E-04
7.5,60,2.70E-04
11.25,0.05,1.06E-03
11.25,0.1,8.63E-04
11.25,0.15,7.23E-04
11.25,0.2,6.18E-04
11.25,0.3,1.01E-03
11.25,0.4,7.83E-04
11.25,0.5,6.23E-04
11.25,0.6,5.03E-04
11.25,0.8,7.44E-04
11.25,1,4.99E-04
11.25,1.5,6.36E-04
11.25,2,2.30E-04
11.25,3,1.90E-04
11.25,4,1.68E-04
11.25,5,1.66E-04
11.25,6,1.64E-04
11.25,8,3.18E-04
11.25,10,3.07E-04
11.25,15,7.16E-04
11.25,20,6.43E-04
11.25,30,1.07E-03
11.25,40,8.09E-04
11.25,50,5.93E-04
11.25,60,4.03E-04
